"id","event_name_en","event_name_fr","date","door_time","show_time","presenter_en","presenter_fr","optional_title_en","optional_title_fr","description_en","description_fr","age_restricted","seated","ticket_url_disabled","ticket_url_en","ticket_url_fr","ticket_url_alternate_en","ticket_url_alternate_fr","ticket_description_en","ticket_description_fr","media_context_en","media_context_fr","announce_date","ticket_onsale_date","image_url","draft","cancelled","postponed","soldout","free","event_url","slug","fb_event_url","venue__id","venue__name_en","venue__name_fr","venue__map_url","venue__website","venue__address1","venue__address2","venue__zip_code","venue__country","venue__state","venue__city","artists__id","artists__name","artists__website","artists__bio_en","artists__bio_fr","artists__image_url","artists__twitter_url","artists__facebook_url","artists__instagram_url","artists__youtube_tag"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5516","THE SUICIDE MACHINES","","","","","https://twitter.com/tsmdetroit","https://www.facebook.com/suicidemachinesdetroit","https://www.instagram.com/suicidemachinesdetroit",""
"4447","","","2019-11-16","18:00:00","19:30:00","Greenland & Heavy Montreal Presents","Greenland & Heavy Montreal Présentent","Heavy Montreal presents","Heavy Montréal présente","","","0","0","0","https://www.ticketmaster.ca/event/31005701A2131645?lang=en-ca&brand=mtelus&camefrom=CFC_SPECTRA_EN","https://www.ticketmaster.ca/event/31005701A2131645?lang=fr-ca&brand=mtelus&camefrom=CFC_SPECTRA_FR","","","Tickets also available at the MTelus & L’Astral box offices.","Billets sont aussi disponibles aux billetteries du MTelus et de L’Astral.","","","2019-08-05 10:00:00","2019-08-09 10:00:00","http://admin.arts2u.ca/uploads/191116_CannibalCorpse_500.jpg","0","0","0","0","0","https://www.greenland.ca/event/view/cannibal-corpse-mtelus-montreal-2019-11-16-tickets-4447","cannibal-corpse-mtelus-montreal-2019-11-16-tickets-4447","https://www.facebook.com/events/330493817664693","11","MTelus","MTelus","https://maps.google.ca/maps?q=Métropolis,+Saint+Catherine+Street,+Montreal,+QC&hl=en&ie=UTF8&ll=45.510633,-73.563337&spn=0.009639,0.018346&sll=45.541214,-73.593013&sspn=0.154136,0.293541&oq=metropol&t=h&z=16&iwloc=A","https://mtelus.com","59 Ste-Catherine E.","","H2X 1K5","Canada","Quebec","Montréal","892","CANNIBAL CORPSE","http://cannibalcorpse.net/","","","","https://twitter.com/CorpseOfficial","https://www.facebook.com/cannibalcorpse","","oPmwn_UCw9o"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2720","THY ART IS MURDER","https://www.thyartismurder.net/","","","","https://twitter.com/thyartismurder","http://www.facebook.com/thyartismurder","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5291","PERDITION TEMPLE","","","","","","https://www.facebook.com/perditiontemple/","",""
"4464","","","2019-11-16","20:00:00","21:00:00","","","","","","","0","0","0","https://www.ticketmaster.ca/event/31005709DA984407?lang=en-ca&brand=lastral&camefrom=CFC_SPECTRA_EN","https://www.ticketmaster.ca/event/31005709DA984407?lang=fr-ca&brand=lastral&camefrom=CFC_SPECTRA_FR","","","Tickets also available at the MTelus & L’Astral box offices.","Billets sont aussi disponibles aux billetteries du MTelus et de L’Astral.","","","2019-08-13 10:00:00","2019-08-16 10:00:00","http://admin.arts2u.ca/uploads/191116-RickPagano_500.jpg","0","0","0","0","0","https://www.greenland.ca/event/view/rick-pagano-lastral-montreal-2019-11-16-tickets-4464","rick-pagano-lastral-montreal-2019-11-16-tickets-4464","https://www.facebook.com/events/665848207264467/","38","L'Astral","L'Astral","https://www.google.ca/maps/place/L'Astral/@45.5068285,-73.5668666,17z/data=!4m2!3m1!1s0x0:0x34390274de602491","http://www.sallelastral.com/","305 Ste-Catherine O","","H2X 2A3","Canada","Quebec","Montréal","5312","RICK PAGANO","https://www.facebook.com/rickpaganofs/","","","","","","https://www.instagram.com/wherepaganoat/","2m-MhLsLhqA"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5578","MATT GIROUX (DE VELVET BLACK)","","","","","","https://www.facebook.com/velvetblackofficial/","https://www.instagram.com/velvetblackofficial/",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5577","CLARA TETU","","","","","","https://www.facebook.com/clatetu/","https://www.instagram.com/clatetu/",""
"3956","","","2019-11-17","00:00:00","20:00:00","","","","","","","0","0","0","https://placedesarts.com/en/event/orchestre-m%C3%A9tropolitain-joyce-didonato-yannick-n%C3%A9zet-s%C3%A9guin#tarifs","https://placedesarts.com/en/event/orchestre-m%C3%A9tropolitain-joyce-didonato-yannick-n%C3%A9zet-s%C3%A9guin#tarifs","","","","","","","0000-00-00 00:00:00","0000-00-00 00:00:00","http://admin.arts2u.ca/uploads/3956.png","0","0","0","0","0","https://placedesarts.com/en/event/orchestre-m%C3%A9tropolitain-joyce-didonato-yannick-n%C3%A9zet-s%C3%A9guin","orchestre-metropolitain-joyce-didonato-yannick-nezet-seguin-maison-symphonique-montreal-2019-11-17-tickets-3956","","45","Maison Symphonique","Maison Symphonique","https://www.google.ca/maps/place/Orchestre+symphonique+de+Montréal/@45.509424,-73.566722,15z/data=!4m2!3m1!1s0x0:0x704eaa603ffc74d8","http://placedesarts.com/rooms/main-rooms/maison-symphonique-de-montreal.en.html","1600 Rue Saint-Urbain","","H2X 1Z8","Canada","Quebec","Montréal","4971","Orchestre Métropolitain - Joyce DiDonato & Yannick Nézet-Séguin","","","","","","","null",""
"4112","","","2019-11-17","00:00:00","20:00:00","Le Nouveau International","Le Nouveau International","","","Montreal’s longest running improv show features some of Montreal’s best improvisers and stand up comedians, special guests from all parts of the globe, and the best up and coming improvisers from our free workshop series. If you take the free class a few times, you could even end up on stage, in the show!! Come for the class, stay for the laughs!","","0","0","0","","","","","$7","$7","","","0000-00-00 00:00:00","0000-00-00 00:00:00","http://admin.arts2u.ca/uploads/Sunday-Night-Improv-480X670.jpg","0","0","0","0","0","http://theatresaintecatherine.com/en/sunday-night-improv/sunday-night-improv","","","111","Théâtre Sainte Catherine","Théâtre Sainte Catherine","https://www.google.ca/maps/place/Th%C3%A9%C3%A2tre+Sainte-Catherine/@45.512391,-73.561416,15z/data=!4m2!3m1!1s0x0:0x2612ae449f17d988?sa=X&ved=2ahUKEwiOpNmbo8zcAhVxqlkKHTavCNAQ_BIwEnoECAcQCw","http://theatresaintecatherine.com/en/","264 St Catherine St E","","H2X 1L4","Canada","Quebec","Montreal","3736","Sunday Night Improv","http://theatresaintecatherine.com/en/","","","","","","",""
"4541","","","2019-11-17","18:00:00","19:00:00","evenko, Live Nation & Greenland present","evenko, Live Nation & Greenland présentent","'77 Montreal Presents","'77 Montréal Présente","","","0","1","0","https://www1.ticketmaster.ca/event/310056FF92C71640?lang=en-ca&brand=placebell","https://www1.ticketmaster.ca/event/310056FF92C71640?lang=fr-ca&brand=placebell","","","","","","","2019-08-19 10:00:00","2019-08-23 10:00:00","http://admin.arts2u.ca/uploads/TheOffspring-GreenlandWeb.jpg","0","0","0","0","0","","the-offspring-place-bell-laval-2019-11-17-tickets-4541","https://www.facebook.com/events/501948183894612/","88","Place Bell","Place Bell","https://www.google.com/maps?ll=45.555895,-73.721598&z=14&t=m&hl=en-US&gl=CA&mapclient=embed&cid=12400176889980186447","https://www.placebell.ca/","1950 Claude-Gagné Road","","H7N 5H9","Canada","Quebec","Laval","5392","THE OFFSPRING","https://www.offspring.com/","","","","https://twitter.com/offspring","https://www.facebook.com/Offspring/","","Qp6Qn8IwPf8"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2183","SUM 41","http://www.sum41.com/","","","","https://twitter.com/Sum41","https://www.facebook.com/Sum41","https://www.instagram.com/sum41/","cxXKiDylfBo"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5393","DINOSAUR PILE-UP","http://www.dinosaurpileup.com/","","","","https://twitter.com/DINOSAURPILEUP","https://www.facebook.com/dinosaurpileup/","",""
"4549"," ","","2019-11-17","19:30:00","20:00:00","Hello Darlin' Presents","Hello Darlin' Présente","","","","","0","0","0","https://thepointofsale.com/tickets/tixza-del-barber-ursa-montreal-november-17-2019","https://lepointdevente.com/billets/tixza-del-barber-ursa-montreal-november-17-2019","","","Tickets 20.00$ + service fees in Advance 23.00$ at the door","Billets : 20.00$ + frais service   - 23.00$  à la porte","","","2019-08-27 18:00:00","2019-08-27 18:08:00","http://admin.arts2u.ca/uploads/69886903_2369972949782796_4334899363592536064_n1.jpg","0","0","0","0","0","https://www.facebook.com/HelloDarlinProductions/","del-barber-ursa-montreal-2019-11-17-tickets-4549","","171","Ursa","Ursa","https://www.google.com/search?rlz=1C1GGRV_enCA755CA755&q=google+maps+5589+Ave+du+parc+montreal+ursa&npsic=0&rflfq=1&rlha=0&tbm=lcl&ved=2ahUKEwiYm-Toh6TkAhUFheAKHei1D5YQtgN6BAgKEAQ&tbs=lrf:,lf:1,lf_ui:1&rldoc=1","https://www.facebook.com/ursamtl/","5589 Avenue du Parc","","H2V4S8","Canada","QC","Montreal","5414","DEL BARBER","https://delbarber.com/","","","69886903_2369972949782796_4334899363592536064_n.jpg","","https://www.facebook.com/Delbarber/","","r7LfVuqJSDI"
"4577","","","2019-11-17","19:00:00","20:00:00","Greenland and Osheaga present","Greenland et Osheaga présentent","OSHEAGA PRESENTS","OSHEAGA PRÉSENTE","","","0","0","0","https://www.ticketmaster.ca/event/31005730AC3C2531?lang=en-ca&brand=lastral&camefrom=CFC_SPECTRA_EN","https://www.ticketmaster.ca/event/31005730AC3C2531?lang=fr-ca&brand=lastral&camefrom=CFC_SPECTRA_FR","","","","","","","2019-09-17 12:00:00","2019-09-20 10:00:00","http://admin.arts2u.ca/uploads/191117_SAINtJHN_500.jpg","0","0","0","0","0","","saint-jhn-lastral-montreal-2019-11-17-tickets-4577","","38","L'Astral","L'Astral","https://www.google.ca/maps/place/L'Astral/@45.5068285,-73.5668666,17z/data=!4m2!3m1!1s0x0:0x34390274de602491","http://www.sallelastral.com/","305 Ste-Catherine O","","H2X 2A3","Canada","Quebec","Montréal","5449","SAINT JHN","http://saintjhn.com/","","","","https://twitter.com/saintjhn","https://www.facebook.com/saintjhn","https://www.instagram.com/saintjhn/","CqumCT6pSQE"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5457","KODIE SHANE","https://soundcloud.com/kodieshane","","","","https://twitter.com/kodieshane","https://www.facebook.com/kodieshane/","https://www.instagram.com/kodieshane/","xsqsX-bmYLY"
"4582","","","2019-11-17","18:30:00","19:30:00","Greenland & Heavy Montreal Presents","Greenland & Heavy Montreal Présentent","Greenland & Heavy Montreal Presents","Greenland & Heavy Montreal Présentent","","","0","0","0","https://www.ticketmaster.ca/event/31005732A16E2A55?lang=en-ca","https://www.ticketmaster.ca/event/31005732A16E2A55?lang=fr-ca","","","Tickets are also available at Corona and Bell Center","Billets aussi disponibles au Corona et au Centre Bell","","","2019-09-19 12:00:00","2019-09-19 12:00:00","http://admin.arts2u.ca/uploads/191117-Ensiferum_500.jpg","0","0","0","0","0","https://www.greenland.ca/event/view/ensiferum-theatre-corona-montreal-2019-11-17-tickets-4582","ensiferum-theatre-corona-montreal-2019-11-17-tickets-4582","https://www.facebook.com/events/527925691105447/","12","Théâtre Corona","Théâtre Corona","https://maps.google.ca/maps?q=Théâtre+Corona+Virgin+Mobile,+Notre+Dame+Street+West,+Montreal,+QC&hl=en&ie=UTF8&sll=45.510633,-73.563337&sspn=0.009639,0.018346&oq=theatre+corona&t=h&hq=Théâtre+Corona+Virgin+Mobile,&hnear=Notre+Dame+St+W,+Montreal,+Quebec&z=","http://theatrecoronavirginmobile.com","2490 Rue Notre Dame O","","H3J 1N5","Canada","Quebec","Montréal","4052","ENSIFERUM","http://www.ensiferum.com/","","","","","https://www.facebook.com/septicfleshband/","","PcxBjFK12zg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4647","KALMAH","http://www.kalmah.com/","","","","http://twitter.com/kalmahofficial?lang=en","https://www.facebook.com/kalmahofficial/","https://www.instagram.com/kalmahofficial/","vc2YeJ3wTtY"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5542","ABIGAIL WILLIAMS","https://www.facebook.com/abigailwilliamsofficial/","","","","","https://www.facebook.com/abigailwilliamsofficial/","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5543","AENIMUS","https://www.facebook.com/Aenimus/","","","","","https://www.facebook.com/Aenimus/","",""
